Poll	Date	Sample	MoE	Rep	Dem	Spread	State	Year	Senate	Final_Margin
WXIA-TV/SurveyUSA*	7/29 - 7/31	570 LV	4.2	48	39	Isakson +9	GA	2016	0	13.8
WSB-TV/Landmark*	11/2 - 11/3	1000 LV	3.1	50	40	Isakson +10	GA	2016	0	13.8
RCP Average	10/20 - 11/6	--	--	50.4	39.4	Isakson +11.0	GA	2016	0	13.8
Quinnipiac	10/20 - 10/26	707 LV	3.7	54	40	Isakson +14	GA	2016	0	13.8
Quinnipiac	9/13 - 9/21	638 LV	3.9	55	34	Isakson +21	GA	2016	0	13.8
PPP (D)	5/27 - 5/30	724 RV	3.6	47	35	Isakson +12	GA	2016	0	13.8
Opinion Savvy*	11/2 - 11/3	538 LV	4.2	50	39	Isakson +11	GA	2016	0	13.8
NBC/WSJ/Marist*	10/30 - 11/1	707 LV	3.7	48	37	Isakson +11	GA	2016	0	13.8
NBC/WSJ/Marist	9/6 - 9/8	649 LV	3.8	53	38	Isakson +15	GA	2016	0	13.8
Monmouth*	9/15 - 9/18	401 LV	4.9	50	34	Isakson +16	GA	2016	0	13.8
Landmark/Rosetta Stone*	11/6 - 11/6	1200 LV	2.8	52	41	Isakson +11	GA	2016	0	13.8
Landmark Communications*	10/11 - 10/12	1400 LV	2.7	50	37	Isakson +13	GA	2016	0	13.8
JMC Analytics*	9/20 - 9/22	600 LV	4	41	28	Isakson +13	GA	2016	0	13.8
JMC Analytics	8/6 - 8/7	615 LV	4	39	30	Isakson +9	GA	2016	0	13.8
FOX 5/Opinion Savvy*	10/20 - 10/20	570 LV	4.1	51	42	Isakson +9	GA	2016	0	13.8
FOX 5 Atlanta*	9/14 - 9/14	568 LV	4.1	47	34	Isakson +13	GA	2016	0	13.8
Final Results	--	--	--	54.8	41	Isakson +13.8	GA	2016	0	13.8
Emerson	10/29 - 10/31	650 LV	3.8	48	40	Isakson +8	GA	2016	0	13.8
Emerson	9/9 - 9/13	600 LV	3.9	48	32	Isakson +16	GA	2016	0	13.8
Atlanta Journal-Constitution	8/1 - 8/4	847 RV	4.3	48	42	Isakson +6	GA	2016	0	13.8
Univ. of North Florida	10/20 - 10/25	819 LV	3.4	49	43	Rubio +6	FL	2016	0	7.7
Univ. of North Florida	9/27 - 10/4	696 LV	3.8	48	41	Rubio +7	FL	2016	0	7.7
Suffolk*	9/19 - 9/21	500 LV	4.4	43	34	Rubio +9	FL	2016	0	7.7
Suffolk University	8/1 - 8/3	500 LV	4.4	46	33	Rubio +13	FL	2016	0	7.7
Quinnipiac	10/10 - 10/16	660 LV	3.8	49	47	Rubio +2	FL	2016	0	7.7
Quinnipiac	7/30 - 8/7	1056 RV	3	48	45	Rubio +3	FL	2016	0	7.7
Quinnipiac	10/27 - 11/1	626 LV	3.9	50	44	Rubio +6	FL	2016	0	7.7
Quinnipiac	9/27 - 10/2	545 LV	4.2	48	44	Rubio +4	FL	2016	0	7.7
Quinnipiac	11/3 - 11/6	884 LV	3.3	50	43	Rubio +7	FL	2016	0	7.7
Quinnipiac	8/31 - 9/7	601 LV	4	50	43	Rubio +7	FL	2016	0	7.7
Quinnipiac	6/8 - 6/19	975 RV	3.1	47	40	Rubio +7	FL	2016	0	7.7
Quinnipiac	6/30 - 7/11	1015 RV	3.1	50	37	Rubio +13	FL	2016	0	7.7
PPP (D)*	10/12 - 10/13	985 LV	3.1	48	43	Rubio +5	FL	2016	0	7.7
PPP (D)*	9/4 - 9/6	744 LV	3.6	40	37	Rubio +3	FL	2016	0	7.7
PPP (D)	6/2 - 6/5	737 RV	3.6	43	44	Murphy +1	FL	2016	0	7.7
PPP (D)	6/15 - 6/16	508 RV	4.4	41	42	Murphy +1	FL	2016	0	7.7
PPP (D)	3/19 - 3/22	923 RV	3.2	48	41	Rubio +7	FL	2016	0	7.7
PPP (D)	9/4 - 9/7	818 LV	3.4	46	41	Rubio +5	FL	2016	0	7.7
PPP (D)	9/11 - 9/13	814 RV	3.4	46	40	Rubio +6	FL	2016	0	7.7
Opinion Savvy	10/10 - 10/11	533 LV	4.2	48	44	Rubio +4	FL	2016	0	7.7
NY Times/Siena	10/25 - 10/27	814 LV	3.4	51	42	Rubio +9	FL	2016	0	7.7
NY Times/Siena	9/10 - 9/14	867 LV	3.3	48	42	Rubio +6	FL	2016	0	7.7
NBC/WSJ/Marist	10/3 - 10/5	700 LV	3.7	48	46	Rubio +2	FL	2016	0	7.7
NBC/WSJ/Marist	7/5 - 7/11	871 RV	3.3	47	44	Rubio +3	FL	2016	0	7.7
NBC/WSJ/Marist	10/25 - 10/26	779 LV	3.5	51	43	Rubio +8	FL	2016	0	7.7
NBC/WSJ/Marist	8/4 - 8/10	862 RV	3.3	49	43	Rubio +6	FL	2016	0	7.7
Monmouth	9/16 - 9/19	400 LV	4.9	47	45	Rubio +2	FL	2016	0	7.7
Monmouth	8/12 - 8/15	402 LV	4.9	48	43	Rubio +5	FL	2016	0	7.7
Mason-Dixon*	9/27 - 9/29	820 LV	3.5	47	40	Rubio +7	FL	2016	0	7.7
Mason-Dixon	3/3 - 3/5	800 RV	3.5	50	38	Rubio +12	FL	2016	0	7.7
JMC Analytics*	9/7 - 9/8	781 LV	3.5	43	38	Rubio +5	FL	2016	0	7.7
JMC Analytics	7/9 - 7/10	700 LV	3.7	40	33	Rubio +7	FL	2016	0	7.7
Gravis	10/25 - 10/26	1301 RV	2.7	46	46	Tie	FL	2016	0	7.7
Gravis	11/1 - 11/2	1220 RV	2.8	47	46	Rubio +1	FL	2016	0	7.7
Gravis	10/4 - 10/4	821 RV	3.4	44	40	Rubio +4	FL	2016	0	7.7
Gravis	10/11 - 10/13	1799 RV	2.3	44	36	Rubio +8	FL	2016	0	7.7
FOX 13/Opinion Savvy	10/20 - 10/20	538 LV	4.2	46	46	Tie	FL	2016	0	7.7
FOX 13/Opinion Savvy	11/1 - 11/2	603 LV	4	50	46	Rubio +4	FL	2016	0	7.7
FOX 13/Opinion Savvy	9/28 - 9/29	619 LV	4	47	43	Rubio +4	FL	2016	0	7.7
FOX 13/Opinion Savvy	8/10 - 8/10	622 LV	4	45	43	Rubio +2	FL	2016	0	7.7
Florida Atlantic University	10/21 - 10/23	500 LV	4.3	46	42	Rubio +4	FL	2016	0	7.7
Florida Atlantic University	8/19 - 8/22	1200 RV	2.7	44	39	Rubio +5	FL	2016	0	7.7
FL Chamber	9/15 - 9/20	617 LV	4	46	42	Rubio +4	FL	2016	0	7.7
Final Results	--	--	--	52	44.3	Rubio +7.7	FL	2016	0	7.7
Emerson	10/26 - 10/27	500 LV	4.3	49	47	Rubio +2	FL	2016	0	7.7
Emerson	10/2 - 10/4	600 LV	3.9	47	39	Rubio +8	FL	2016	0	7.7
Dixie Strategies	10/25 - 10/26	698 LV	3.7	49	43	Rubio +6	FL	2016	0	7.7
CNN/ORC	10/27 - 11/1	773 LV	3.5	49	48	Rubio +1	FL	2016	0	7.7
CNN/ORC	9/7 - 9/12	788 LV	3.5	54	43	Rubio +11	FL	2016	0	7.7
CBS News/YouGov	11/2 - 11/4	1188 LV	3.6	47	44	Rubio +3	FL	2016	0	7.7
CBS News/YouGov	10/20 - 10/21	1042 LV	3.6	44	42	Rubio +2	FL	2016	0	7.7
Bloomberg	10/21 - 10/24	953 LV	3.2	51	41	Rubio +10	FL	2016	0	7.7
Bay News 9/SurveyUSA	6/25 - 6/27	1678 LV	2.4	43	43	Tie	FL	2016	0	7.7
Bay News 9/SurveyUSA	10/20 - 10/24	1251 LV	2.3	45	41	Rubio +4	FL	2016	0	7.7
University of Denver	10/29 - 10/31	550 LV	4.2	40	48	Bennet +8	CO	2016	0	5.7
Rocky Mountain PBS	9/14 - 9/18	350 LV	6.3	32	45	Bennet +13	CO	2016	0	5.7
RCP Average	10/28 - 11/4	--	--	40.8	48.2	Bennet +7.4	CO	2016	0	5.7
Quinnipiac	10/10 - 10/16	685 LV	3.7	38	56	Bennet +18	CO	2016	0	5.7
Quinnipiac	8/9 - 8/16	830 LV	3.4	38	54	Bennet +16	CO	2016	0	5.7
Quinnipiac	9/13 - 9/21	644 LV	3.9	43	52	Bennet +9	CO	2016	0	5.7
PPP (D)*	11/3 - 11/4	704 LV	3.7	40	50	Bennet +10	CO	2016	0	5.7
NBC/WSJ/Marist	8/4 - 8/10	899 RV	3.3	38	53	Bennet +15	CO	2016	0	5.7
NBC/WSJ/Marist	7/5 - 7/11	794 RV	3.5	38	53	Bennet +15	CO	2016	0	5.7
Monmouth*	9/29 - 10/2	400 LV	4.9	35	53	Bennet +18	CO	2016	0	5.7
Monmouth*	7/9 - 7/12	404 LV	4.9	35	48	Bennet +13	CO	2016	0	5.7
Magellan Strategies (R)*	10/12 - 10/13	500 LV	4.4	32	47	Bennet +15	CO	2016	0	5.7
Keating (D)	11/2 - 11/3	605 LV	4	38	49	Bennet +11	CO	2016	0	5.7
Harper (R)	7/7 - 7/9	500 LV	4.4	40	46	Bennet +6	CO	2016	0	5.7
Gravis	10/12 - 10/13	1226 RV	2.8	38	48	Bennet +10	CO	2016	0	5.7
Gravis	10/3 - 10/4	1246 RV	2.8	39	47	Bennet +8	CO	2016	0	5.7
Gravis	11/1 - 11/2	1125 RV	2.9	44	47	Bennet +3	CO	2016	0	5.7
Gravis	9/22 - 9/23	799 RV	3.5	45	43	Glenn +2	CO	2016	0	5.7
FOX News	7/9 - 7/12	600 RV	4	36	51	Bennet +15	CO	2016	0	5.7
Final Results	--	--	--	44.3	50	Bennet +5.7	CO	2016	0	5.7
Emerson	10/28 - 10/31	750 LV	3.5	42	47	Bennet +5	CO	2016	0	5.7
Emerson	9/9 - 9/13	600 LV	3.9	39	46	Bennet +7	CO	2016	0	5.7
CNN/ORC	9/20 - 9/25	784 LV	3.5	43	53	Bennet +10	CO	2016	0	5.7
CBS News/YouGov	10/26 - 10/28	997 LV	4.1	41	46	Bennet +5	CO	2016	0	5.7
RCP Average	10/26 - 11/1	--	--	49.5	39.5	McCain +10.0	AZ	2016	0	12.9
PPP (D)*	6/22 - 6/23	691 RV	3.7	42	40	McCain +2	AZ	2016	0	12.9
PPP (D)	5/13 - 5/15	896 RV	3.3	42	36	McCain +6	AZ	2016	0	12.9
PPP (D)	5/1 - 5/3	600 RV	4	42	36	McCain +6	AZ	2016	0	12.9
NBC/WSJ/Marist	10/30 - 11/1	719 LV	3.7	55	39	McCain +16	AZ	2016	0	12.9
NBC/WSJ/Marist	9/6 - 9/8	649 LV	3.8	57	38	McCain +19	AZ	2016	0	12.9
Monmouth*	10/21 - 10/24	401 LV	4.9	50	40	McCain +10	AZ	2016	0	12.9
Merrill Poll	3/7 - 3/11	701 LV	3.7	41	40	McCain +1	AZ	2016	0	12.9
Gravis Marketing	8/13 - 8/16	1433 RV	2.6	48	35	McCain +13	AZ	2016	0	12.9
Final Results	--	--	--	53.7	40.8	McCain +12.9	AZ	2016	0	12.9
Emerson	10/28 - 10/31	700 LV	3.6	46	40	McCain +6	AZ	2016	0	12.9
Emerson	10/2 - 10/4	600 LV	3.9	52	36	McCain +16	AZ	2016	0	12.9
CNN/ORC	10/27 - 11/1	769 LV	3.5	54	41	McCain +13	AZ	2016	0	12.9
CNN/ORC	8/18 - 8/23	809 LV	3.5	52	39	McCain +13	AZ	2016	0	12.9
CBS News/YouGov	10/26 - 10/28	994 LV	4.3	43	38	McCain +5	AZ	2016	0	12.9
Behavior Research Center	4/4 - 4/11	564 RV	4.2	42	42	Tie	AZ	2016	0	12.9
Behavior Research Center	1/17 - 1/17	590 RV	4.1	38	37	McCain +1	AZ	2016	0	12.9
Behavior Research Center	6/6 - 6/19	448 RV	4.7	40	31	McCain +9	AZ	2016	0	12.9
Final Results	--	--	--	44.4	11.6	Murkowski +32.8	AK	2016	0	32.8
RCP Average	8/20 - 10/23	--	--	65	27	Enzi +38.0	WY	2014	0	54.7
Rasmussen Reports	8/20 - 8/21	700 LV	4	63	27	Enzi +36	WY	2014	0	54.7
Final Results	--	--	--	72.3	17.6	Enzi +54.7	WY	2014	0	54.7
CBS News/NYT/YouGov	10/16 - 10/23	258 LV	11	67	27	Enzi +40	WY	2014	0	54.7
CBS News/NYT/YouGov	7/5 - 7/24	LV	5.1	68	23	Enzi +45	WY	2014	0	54.7
CBS News/NYT/YouGov	8/18 - 9/2	350 LV	8	66	21	Enzi +45	WY	2014	0	54.7
CBS News/NYT/YouGov	9/20 - 10/1	264 LV	7	75	17	Enzi +58	WY	2014	0	54.7
The West Virginia Poll	8/15 - 8/22	400 A	4.9	45	40	Capito +5	WV	2014	0	27.6
The West Virginia Poll	5/19 - 5/22	400 LV	4.9	49	38	Capito +11	WV	2014	0	27.6
The West Virginia Poll	8/15 - 8/23	401 LV	4.9	54	37	Capito +17	WV	2014	0	27.6
RCP Average	8/15 - 10/23	--	--	53.3	36.7	Capito +16.6	WV	2014	0	27.6
Rasmussen Reports	5/14 - 5/15	750 LV	4	48	39	Capito +9	WV	2014	0	27.6
Rasmussen Reports	9/30 - 10/1	750 LV	4	50	39	Capito +11	WV	2014	0	27.6
Rasmussen Reports	2/19 - 2/20	500 LV	4.5	49	35	Capito +14	WV	2014	0	27.6
Rasmussen Reports	8/19 - 8/20	750 LV	4	50	33	Capito +17	WV	2014	0	27.6
PPP (D)	9/19 - 9/22	1110 RV	2.9	50	36	Capito +14	WV	2014	0	27.6
Final Results	--	--	--	62.1	34.5	Capito +27.6	WV	2014	0	27.6
CBS News/NYT/YouGov	7/5 - 7/24	LV	2.7	51	43	Capito +8	WV	2014	0	27.6
CBS News/NYT/YouGov	10/16 - 10/23	877 LV	5	56	34	Capito +22	WV	2014	0	27.6
CBS News/NYT/YouGov	9/20 - 10/1	1066 LV	4	56	33	Capito +23	WV	2014	0	27.6
CBS News/NYT/YouGov	8/18 - 9/2	1284 LV	4	55	32	Capito +23	WV	2014	0	27.6
WFB/The Polling Company (R)	11/19 - 11/20	600 RV	4	33	51	Warner +18	VA	2014	0	0.8
Univ. of Mary Washington*	10/1 - 10/6	444 LV	5.3	37	47	Warner +10	VA	2014	0	0.8
Roanoke College*	9/13 - 9/19	630 LV	3.9	29	49	Warner +20	VA	2014	0	0.8
Roanoke College*	7/14 - 7/19	566 RV	4.2	22	47	Warner +25	VA	2014	0	0.8
Roanoke College*	10/20 - 10/25	738 LV	3.6	35	47	Warner +12	VA	2014	0	0.8
Roanoke College	2/22 - 2/28	707 RV	3.9	29	56	Warner +27	VA	2014	0	0.8
Roanoke College	1/13 - 1/17	553 RV	4.2	21	50	Warner +29	VA	2014	0	0.8
RCP Average	10/1 - 10/29	--	--	38.8	48.5	Warner +9.7	VA	2014	0	0.8
Rasmussen Reports	6/11 - 6/12	750 LV	4	36	53	Warner +17	VA	2014	0	0.8
Rasmussen Reports	1/20 - 1/21	1000 LV	3	37	51	Warner +14	VA	2014	0	0.8
Quinnipiac*	3/19 - 3/24	1288 RV	2.7	31	46	Warner +15	VA	2014	0	0.8
Quinnipiac	9/17 - 9/22	1010 LV	3.1	41	50	Warner +9	VA	2014	0	0.8
PPP (D)	9/22 - 9/23	625 LV	3.9	37	49	Warner +12	VA	2014	0	0.8
HamptonÂ University	7/27 - 7/30	804 LV	2.9	32	55	Warner +23	VA	2014	0	0.8
Final Results	--	--	--	48.4	49.2	Warner +0.8	VA	2014	0	0.8
Christopher Newport Univ.*	9/2 - 9/7	713 LV	3.7	31	53	Warner +22	VA	2014	0	27.2
Christopher Newport Univ.*	10/23 - 10/29	634 LV	3.9	44	51	Warner +7	VA	2014	0	27.2
Christopher Newport Univ.*	9/29 - 10/5	690 LV	3.7	39	51	Warner +12	VA	2014	0	27.2
Christopher Newport Univ.	1/15 - 1/22	1023 RV	3.1	30	50	Warner +20	VA	2014	0	27.2
CBS News/NYT/YouGov*	9/20 - 10/1	1656 LV	3	39	51	Warner +12	VA	2014	0	27.2
CBS News/NYT/YouGov*	10/16 - 10/23	1605 LV	4	39	49	Warner +10	VA	2014	0	27.2
CBS News/NYT/YouGov	7/5 - 7/24	LV	3.2	43	53	Warner +10	VA	2014	0	27.2
CBS News/NYT/YouGov	8/18 - 9/2	1635 LV	3	39	51	Warner +12	VA	2014	0	27.2
UT/Texas Tribune*	10/10 - 10/19	866 LV	3.3	57	31	Cornyn +26	TX	2014	0	27.2
UT/Texas Tribune*	5/30 - 6/8	1200 RV	2.8	36	25	Cornyn +11	TX	2014	0	27.2
Texas Lyceum*	9/11 - 9/25	666 LV	3.8	48	30	Cornyn +18	TX	2014	0	27.2
RCP Average	9/11 - 10/23	--	--	53	31.3	Cornyn +21.7	TX	2014	0	27.2
Rasmussen Reports	10/1 - 10/2	840 LV	3.5	50	29	Cornyn +21	TX	2014	0	27.2
Rasmussen Reports	8/4 - 8/5	850 LV	3	47	29	Cornyn +18	TX	2014	0	27.2
PPP (D)	4/10 - 4/13	559 RV	4.1	49	32	Cornyn +17	TX	2014	0	27.2
Final Results	--	--	--	61.6	34.4	Cornyn +27.2	TX	2014	0	27.2
CBS News/NYT/YouGov	7/5 - 7/24	LV	3.7	55	38	Cornyn +17	TX	2014	0	27.2
CBS News/NYT/YouGov	10/16 - 10/23	3987 LV	3	57	35	Cornyn +22	TX	2014	0	27.2
CBS News/NYT/YouGov	9/20 - 10/1	4177 LV	2	55	35	Cornyn +20	TX	2014	0	27.2
CBS News/NYT/YouGov	8/18 - 9/2	4189 LV	2	55	34	Cornyn +21	TX	2014	0	27.2
RCP Average	8/11 - 10/23	--	--	51	32.5	Alexander +18.5	TN	2014	0	30.1
Rasmussen Reports	8/11 - 8/12	750 LV	4	47	32	Alexander +15	TN	2014	0	30.1
Rasmussen Reports	4/29 - 4/30	750 LV	4	51	25	Alexander +26	TN	2014	0	30.1
Final Results	--	--	--	61.9	31.8	Alexander +30.1	TN	2014	0	30.1
CBS News/NYT/YouGov	10/16 - 10/23	974 LV	5	55	33	Alexander +22	TN	2014	0	30.1
CBS News/NYT/YouGov	7/5 - 7/24	LV	5.4	48	33	Alexander +15	TN	2014	0	30.1
CBS News/NYT/YouGov	9/20 - 10/1	1007 LV	4	53	32	Alexander +21	TN	2014	0	30.1
CBS News/NYT/YouGov	8/18 - 9/2	1056 LV	4	47	32	Alexander +15	TN	2014	0	30.1
SurveyUSA*	10/21 - 10/26	611 LV	4	43	32	Rounds +11	SD	2014	0	29.5
SurveyUSA*	5/6 - 5/10	504 LV	4.5	44	30	Rounds +14	SD	2014	0	29.5
SurveyUSA*	10/1 - 10/5	616 LV	4	35	28	Rounds +3	SD	2014	0	29.5
SurveyUSA*	9/3 - 9/7	510 LV	4.4	39	28	Rounds +11	SD	2014	0	29.5
RCP Average	10/16 - 10/26	--	--	42.2	30	Rounds +12.2	SD	2014	0	29.5
Rasmussen Reports	10/22 - 10/26	908 LV	3	45	31	Rounds +14	SD	2014	0	29.5
Rasmussen Reports	6/4 - 6/5	750 LV	4	44	29	Rounds +15	SD	2014	0	29.5
Nielson Brothers*	7/23 - 7/28	578 LV	4	43	30	Rounds +13	SD	2014	0	29.5
Nielson Brothers*	9/21 - 9/25	647 LV	3.2	39	26	Rounds +13	SD	2014	0	29.5
NBC News/Marist*	10/19 - 10/23	730 LV	3.6	43	29	Rounds +14	SD	2014	0	29.5
Harper (R)*	10/9 - 10/11	630 LV	3.9	37	33	Rounds +4	SD	2014	0	29.5
Final Results	--	--	--	50.4	29.5	Rounds +20.9	SD	2014	0	29.5
CBS News/NYT/YouGov	8/18 - 9/2	526 LV	6	43	29	Rounds +14	SD	2014	0	29.5
CBS News/NYT/YouGov	9/20 - 10/1	382 LV	7	42	27	Rounds +15	SD	2014	0	29.5
CBS News/NYT/YouGov	10/16 - 10/23	527 LV	8	38	25	Rounds +13	SD	2014	0	29.5
Argus Leader/Mason-Dixon*	10/20 - 10/23	800 LV	3.5	42	33	Rounds +9	SD	2014	0	29.5
Winthrop*	9/21 - 9/28	1082 LV	3	52	32	Scott +20	SC	2014	0	29.5
RCP Average	9/21 - 10/23	--	--	55.7	30.3	Scott +25.4	SC	2014	0	29.5
Rasmussen Reports	7/9 - 7/10	750 LV	4	53	31	Scott +22	SC	2014	0	29.5
Palmetto Politics Poll/VSS*	10/14 - 10/19	917 LV	3.2	58	31	Scott +27	SC	2014	0	29.5
Final Results	--	--	--	61.2	37.1	Scott +24.1	SC	2014	0	24.1
CBS News/NYT/YouGov	7/5 - 7/24	LV	5.4	54	40	Scott +14	SC	2014	0	24.1
CBS News/NYT/YouGov	8/18 - 9/2	833 LV	5	54	33	Scott +21	SC	2014	0	24.1
CBS News/NYT/YouGov	9/20 - 10/1	2663 LV	2	54	31	Scott +23	SC	2014	0	24.1
CBS News/NYT/YouGov	10/16 - 10/23	1566 LV	4	57	28	Scott +29	SC	2014	0	24.1
RCP Average	9/23 - 10/23	--	--	23	63	Reed +40.0	RI	2014	0	41.4
Rasmussen Reports	9/23 - 9/25	750 LV	4	26	61	Reed +35	RI	2014	0	41.4
Final Results	--	--	--	29.3	70.7	Reed +41.4	RI	2014	0	41.4
CBS News/NYT/YouGov	10/16 - 10/23	866 LV	6	20	65	Reed +45	RI	2014	0	41.4
CBS News/NYT/YouGov	9/20 - 10/1	724 LV	4	22	64	Reed +42	RI	2014	0	41.4
CBS News/NYT/YouGov	8/18 - 9/2	764 LV	4	32	52	Reed +20	RI	2014	0	41.4
Vox Populi/Daily Caller (R)	4/28 - 4/30	618 RV	3.9	45	41	Wehby +4	OR	2014	0	18.5
The Polling Company (R)*	9/9 - 9/11	600 LV	4	34	42	Merkley +8	OR	2014	0	18.5
The Oregonian/Elway	10/26 - 10/27	403 LV	5	30	49	Merkley +19	OR	2014	0	18.5
SurveyUSA	10/23 - 10/27	552 LV	4.2	32	53	Merkley +21	OR	2014	0	18.5
SurveyUSA	10/16 - 10/19	561 LV	4.2	32	53	Merkley +21	OR	2014	0	18.5
SurveyUSA	9/22 - 9/24	568 LV	4.2	32	52	Merkley +20	OR	2014	0	18.5
SurveyUSA	8/1 - 8/5	564 LV	4.2	33	52	Merkley +19	OR	2014	0	18.5
SurveyUSA	6/5 - 6/9	560 LV	4.2	32	50	Merkley +18	OR	2014	0	18.5
RCP Average	10/16 - 10/27	--	--	33.7	51	Merkley +17.3	OR	2014	0	18.5
Rasmussen Reports	9/2 - 9/3	750 LV	4	35	48	Merkley +13	OR	2014	0	18.5
Rasmussen Reports	5/21 - 5/22	750 LV	4	37	47	Merkley +10	OR	2014	0	18.5
PPP (D)	5/22 - 5/27	956 RV	3.2	36	50	Merkley +14	OR	2014	0	18.5
Harper (R)	4/1 - 4/2	670 LV	3.9	34	46	Merkley +12	OR	2014	0	18.5
Final Results	--	--	--	37.3	55.8	Merkley +18.5	OR	2014	0	18.5
CBS News/NYT/YouGov	7/5 - 7/24	LV	2.6	41	55	Merkley +14	OR	2014	0	18.5
CBS News/NYT/YouGov	9/20 - 10/1	1508 LV	3	39	52	Merkley +13	OR	2014	0	18.5
CBS News/NYT/YouGov	10/16 - 10/23	1421 LV	4	39	51	Merkley +12	OR	2014	0	18.5
CBS News/NYT/YouGov	8/18 - 9/2	1541 LV	4	39	51	Merkley +12	OR	2014	0	18.5
Sooner Poll/News 9/News on 6*	10/25 - 10/29	949 LV	3.2	59	28	Lankford +31	OK	2014	0	38.9
Sooner Poll/News 9/News on 6*	8/28 - 8/30	603 LV	4	58	28	Lankford +30	OK	2014	0	38.9
Sooner Poll/News 9/News on 6*	9/27 - 9/29	400 LV	4.9	56	28	Lankford +28	OK	2014	0	38.9
RCP Average	8/27 - 10/29	--	--	60	28.7	Lankford +31.3	OK	2014	0	38.9
Rasmussen Reports	8/27 - 8/28	750 LV	4	58	29	Lankford +29	OK	2014	0	38.9
Final Results	--	--	--	67.9	29	Lankford +38.9	OK	2014	0	38.9
CBS News/NYT/YouGov	7/5 - 7/24	LV	4.7	57	34	Lankford +23	OK	2014	0	38.9
CBS News/NYT/YouGov	10/16 - 10/23	995 LV	5	63	29	Lankford +34	OK	2014	0	38.9
CBS News/NYT/YouGov	8/18 - 9/2	821 LV	5	61	28	Lankford +33	OK	2014	0	38.9
CBS News/NYT/YouGov	9/20 - 10/1	1244 LV	3	65	24	Lankford +41	OK	2014	0	38.9
Rasmussen Reports	9/22 - 9/23	830 LV	4	52	39	Udall +13	NM	2014	0	10.8
Rasmussen Reports	7/21 - 7/22	860 LV	4	54	33	Udall +21	NM	2014	0	10.8
PPP (D)	3/20 - 3/23	674 RV	3.8	53	33	Udall +20	NM	2014	0	10.8
Final Results	--	--	--	55.4	44.6	Udall +10.8	NM	2014	0	10.8
CBS News/NYT/YouGov	7/5 - 7/24	LV	3.6	52	44	Udall +8	NM	2014	0	10.8
CBS News/NYT/YouGov	8/18 - 9/2	1096 LV	4	54	36	Udall +18	NM	2014	0	10.8
CBS News/NYT/YouGov	10/16 - 10/23	962 LV	6	52	36	Udall +16	NM	2014	0	10.8
CBS News/NYT/YouGov	9/20 - 10/1	1093 LV	4	53	35	Udall +18	NM	2014	0	10.8
Albuquerque Journal	10/21 - 10/23	614 LV	4	50	43	Udall +7	NM	2014	0	10.8
Albuquerque Journal	9/9 - 9/11	603 LV	4	51	38	Udall +13	NM	2014	0	10.8
Albuquerque Journal	8/12 - 8/14	606 LV	4	53	35	Udall +18	NM	2014	0	10.8
Richard Stockton College	10/18 - 10/22	806 LV	3.5	33	57	Booker +24	NJ	2014	0	13.4
Richard Stockton College	9/5 - 9/8	807 LV	3.5	36	49	Booker +13	NJ	2014	0	13.4
Richard Stockton College	10/5 - 10/8	810 LV	3.5	39	48	Booker +9	NJ	2014	0	13.4
RCP Average	9/25 - 11/2	--	--	38.4	53.8	Booker +15.4	NJ	2014	0	13.4
Rasmussen Reports	6/17 - 6/18	750 LV	4	35	48	Booker +13	NJ	2014	0	13.4
Quinnipiac	9/25 - 9/29	1058 LV	3	40	51	Booker +11	NJ	2014	0	13.4
Quinnipiac	7/31 - 8/4	1148 RV	2.9	37	47	Booker +10	NJ	2014	0	13.4
Monmouth	10/30 - 11/2	750 LV	3.6	40	54	Booker +14	NJ	2014	0	13.4
Monmouth	10/2 - 10/5	477 LV	4.5	38	53	Booker +15	NJ	2014	0	13.4
Monmouth	6/25 - 6/29	717 RV	3.7	23	43	Booker +20	NJ	2014	0	13.4
Final Results	--	--	--	42.4	55.8	Booker +13.4	NJ	2014	0	13.4
Fairleigh Dickinson	10/13 - 10/19	525 LV	4.3	40	56	Booker +16	NJ	2014	0	13.4
Fairleigh Dickinson	9/1 - 9/7	721 RV	3.7	29	42	Booker +13	NJ	2014	0	13.4
CBS News/NYT/YouGov	8/18 - 9/2	2244 LV	3	37	52	Booker +15	NJ	2014	0	13.4
CBS News/NYT/YouGov	9/20 - 10/1	2011 LV	3	37	51	Booker +14	NJ	2014	0	13.4
CBS News/NYT/YouGov	10/16 - 10/23	1868 LV	4	39	51	Booker +12	NJ	2014	0	13.4
CBS News/NYT/YouGov	7/5 - 7/24	LV	3.4	43	50	Booker +7	NJ	2014	0	13.4
WMUR/UNH	6/19 - 7/1	509 LV	4.3	40	52	Shaheen +12	NH	2014	0	3.2
WMUR/UNH	10/22 - 10/26	555 LV	4.2	42	50	Shaheen +8	NH	2014	0	3.2
WMUR/UNH	10/29 - 11/2	757 LV	3.6	48	49	Shaheen +1	NH	2014	0	3.2
WMUR/UNH	9/29 - 10/5	532 LV	4.2	41	47	Shaheen +6	NH	2014	0	3.2
WMUR/UNH	1/21 - 1/26	454 LV	--	37	47	Shaheen +10	NH	2014	0	3.2
WMUR/UNH	8/7 - 8/17	609 LV	4	44	46	Shaheen +2	NH	2014	0	3.2
WMUR/UNH	4/1 - 4/9	387 LV	5	39	45	Shaheen +6	NH	2014	0	3.2
Vox Populi (R)	10/27 - 10/28	638 LV	3.9	45	49	Brown +4	NH	2014	0	3.2
